methods,Accuracy,Precision,Recall ,Sensitivity,Specificity,F1 Score,TN,FN,FP,TP,,,
NN_Base,0.951,0.2758,0.5,0.5,0.9638,0.3555,1678,24,63,24,,,
NN_Base,0.9496,0.26744,0.46,0.46,0.9637,0.3382,1674,27,63,23,,,
NN_Base,0.9446,0.2183,0.38,0.38,0.9608,0.2773,1670,31,68,19,,,
NN_Base,0.9552,0.2441,0.5833,0.5833,0.9629,0.3442,1687,15,65,21,,,
NN_Base,0.9541,0.372,0.5333,0.5333,0.9687,0.4383,1673,28,54,32,,,
NN_Base,0.9463,0.2988,0.4262,0.4262,0.9646,0.35135,1667,35,61,26,,,
NN_Base,0.9524,0.3563,0.5166,0.5166,0.9676,0.4217,1673,29,56,31,,,
NN_Base,0.9468,0.1379,0.375,0.375,0.9572,0.2016,1681,20,75,12,,,
NN_Base,0.9535,0.244,0.5384,0.5384,0.9628,0.336,1683,18,65,21,,,
NN_Base,0.9457,0.2528,0.4074,0.4074,0.9625,0.312,1669,32,65,22,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
